spotify_id,name,artists,album_name,duration_ms,album_release_date
21KeYjejBCDNNNyxtIP5pt,Christmas Child,Burl Ives,A Holly Jolly Christmas,170000,2024-12-17
3zOgFY5kpQ6p2cwPIquZks,EL CLúB,Bad Bunny,EL CLúB,222568,2024-12-05
7bywjHOc0wSjGGbj04XbVi,LUNA,"Feid, ATL Jacob",FERXXOCALIPSIS,196800,2023-12-01
5eBk8ZXcd0pb0AO4a5PpOg,Gala bunga matahari,Sal Priadi,MARKERS AND SUCH PENS FLASHDISKS,209693,2024-04-30
5S8VwnB4sLi6W0lYTWYylu,hey now (feat. dody6),"Kendrick Lamar, Dody6",GNX,217478,2024-11-22
1fDFHXcykq4iw8Gg7s5hG9,About You,The 1975,Being Funny In A Foreign Language,326490,2022-10-14
5gOfC9UzZQzTyShqPMrpjT,wacced out murals,Kendrick Lamar,GNX,317092,2024-11-22
4Gmkqn3V7IMTkOmmiX7cbb,On Bended Knee,Boyz II Men,II,329800,1994-08-30
3vkCueOmm7xQDoJ17W1Pm3,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,137773,2023-09-15
1lcBt7LoEikqYmhUoa2cez,number one girl,ROSÉ,rosie,216442,2024-12-06
5QMrH5nszZZR3nefIj6Mar,Defying Gravity,"Cynthia Erivo, Ariana Grande",Wicked: The Soundtrack,459766,2024-11-22
7134tEHq45eL6am9oVazZU,White Christmas (with V of BTS),"V, Bing Crosby",White Christmas (with V of BTS),173033,2024-12-06
4lriIG2vNqwDWzOj2I9rtj,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Stromae, Pomme, Arcane",Ma Meilleure Ennemie (from the series Arcane League of Legends),147973,2024-11-23
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,From Zero,190427,2024-11-15
4K1Pg0FLno1ltzX3jeqT83,"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",GNX,131240,2024-11-22
0RgjEkSbeuStKfT2Pa4Zai,reincarnated,Kendrick Lamar,GNX,275740,2024-11-22
7eGuPhpdS8sBjPJNuAShUX,What Is This Feeling?,"Ariana Grande, Cynthia Erivo",Wicked: The Soundtrack,228947,2024-11-22
2Uts1QFB4u2YNIMiqcb4de,peekaboo (feat. azchike),"Kendrick Lamar, AzChike",GNX,155917,2024-11-22
5ho7VSXSmI2KM2nDjcnLyz,man at the garden,Kendrick Lamar,GNX,233173,2024-11-22
1SGvjfc85yzqKXsfKcCxn2,heart pt. 6,Kendrick Lamar,GNX,292461,2024-11-22
06qMRF18gwbOYYbnP2du6i,Last Christmas - Single Version,Wham!,The Singles: Echoes from the Edge of Heaven,265960,2023-07-07
0wgOhYnqZKjOHr6bmdz0aN,gloria (with sza),"Kendrick Lamar, SZA",GNX,287522,2024-11-22
3aZptNYC6Z1YoumeqZcDcQ,"gnx (feat. hitta j3, youngthreat, peysoh)","Kendrick Lamar, Hitta J3, YoungThreat, Peysoh",GNX,193539,2024-11-22
1QoyuMHNBe7lg3YW4Qtll4,St. Chroma (feat. Daniel Caesar),"Tyler, The Creator, Daniel Caesar",CHROMAKOPIA,197019,2024-10-28
3i8fIJNV0yuC4kXT3SkVBZ,Popular,Ariana Grande,Wicked: The Soundtrack,241501,2024-11-22
2sD709AK9zRN6SKUmDhGEa,"Dia Masa Lalumu, Aku Masa Depanmu",Vionita,"Dia Masa Lalumu, Aku Masa Depanmu",242000,2021-03-05
6mQLN3zRtAp6ovjusyYKrV,Rewrite The Stars (with James Arthur & Anne-Marie),"James Arthur, Anne-Marie",Rewrite The Stars (with James Arthur & Anne-Marie),218293,2018-10-25
0fiKmieZ6xzoolzNOC3Fxi,Sekuat Hatimu,Last Child,Our Biggest Thing Ever,283760,2014-12-30
442ifpYGFKfyz8PohOQEVd,"dodger blue (feat. wallie the sensei, roddy ricch, siete7x)","Kendrick Lamar, Wallie the Sensei, Roddy Ricch, Siete7x",GNX,131240,2024-11-21
5xPvy0TW5W47hgyYas9bnt,gloria (feat. sza),"Kendrick Lamar, SZA",GNX,287522,2024-11-21
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,Short n' Sweet,223192,2024-08-23
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",CHROMAKOPIA,253834,2024-10-28
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,Dizzy up the Girl,289533,1998-01-01
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,Hybrid Theory (Bonus Edition),216880,2000-01-01
2uXlHCUbq9OMUwx3hrk06o,Riptide,Vance Joy,Dream Your Life Away (Deluxe Edition),204280,2014-08-05
2HBBM75Xv3o2Mqdyh1NcM0,Heavy Is the Crown,Linkin Park,From Zero,167012,2024-11-15
1f18HzFpegqvH4ibGJyeMJ,2 hands,Tate McRae,2 hands,181820,2024-11-14
5RePVWy39tLpHH0WwXgBsK,Rah Tah Tah,"Tyler, The Creator",CHROMAKOPIA,165412,2024-10-28
2aYHxnMF2umAavtgBvmkY1,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold",CHROMAKOPIA,207272,2024-10-28
